	body.size.female	biomass.female	body.size.male	biomass.male	forest.affinity	hunting.mode	family	shading	moisture	dispersal	RL D	Bestand
Pardosa pullata	5	13,67769219	4,5	10,29516339	mo	Ground hunters	Lycosidae	0,26	0,36	1	*	sh
Pardosa tenuipes	5,595	18,52154856	5,01	13,75157788	o	Ground hunters	Lycosidae	NA	NA	1	#NV	#NV
Pelecopsis parallela	1,65	0,688245599	1,25	0,32555945	o	Other hunters	Linyphiidae	0,15	0,31	1	*	sh
Pelecopsis radicicola	1,6	0,633445309	1,35	0,400639211	mm	Other hunters	Linyphiidae	0,59	0,4	1	*	h
Philodromus collinus	5,5	17,68573993	4,25	8,824689404	w	Other hunters	Philodromidae	0,62	0,47	1	*	sh
Phlegra fasciata	6,45	27,17719991	5,85	20,88660337	mo	Other hunters	Salticidae	0,17	0,54	1	*	sh
Phrurolithus festivus	2,8	2,864389402	2,55	2,225926897	mo	Other hunters	Phrurolithidae	0,29	0,43	0	*	sh
Pirata piraticus	6,75	30,72148415	6,1	23,38146646	o	Ground hunters	Lycosidae	0,22	0,21	1	*	sh
Piratula hygrophila	5,35	16,41506687	5	13,67769219	mm	Ground hunters	Lycosidae	0,39	0,28	1	*	sh
Piratula latitans	4,5	10,29516339	3,5	5,228032504	mo	Ground hunters	Lycosidae	0,24	0,3	1	*	sh
Piratula uliginosa	4,5	10,29516339	4,5	10,29516339	mm	Ground hunters	Lycosidae	0,26	0,27	1	*	h
Pisaura mirabilis	13,5	199,1285138	11,5	129,2315426	mo	Sheet web	Pisauridae	0,29	0,44	1	*	sh
Pocadicnemis pumila	2,05	1,235750974	1,9	1,006815099	mo	Other hunters	Linyphiidae	0,36	0,39	0	*	sh
Porrhomma errans	2,75	2,728550365	2,4	1,890244894	o	Sheet web	Linyphiidae	0,56	0,46	0	*	s
Porrhomma microphthalmum	1,85	0,936959007	1,85	0,936959007	mo	Sheet web	Linyphiidae	0,24	0,29	1	*	sh
Porrhomma pallidum	1,75	0,806579202	1,75	0,806579202	w	Sheet web	Linyphiidae	0,61	0,31	0	*	h
Robertus lividus	3,5	5,228032504	3,25	4,281107591	w	Space web	Theridiidae	0,51	0,33	0	*	sh
Robertus neglectus	2,25	1,588334553	2	1,156153093	mo	Space web	Theridiidae	0,37	0,32	1	*	h
Silometopus elegans	1,75	0,806579202	1,35	0,400639211	o	Other hunters	Linyphiidae	0,26	0,27	1	V	mh
Stemonyphantes lineatus	6,75	30,72148415	4	7,493877767	mo	Sheet web	Linyphiidae	0,31	0,47	0	*	sh
Styloctetor compar	2,3	1,685309963	1,95	1,079860389	o	Other hunters	Linyphiidae	0,12	0,8	0	V	mh
Talavera aequipes	2,45	1,998314005	2,42	1,933019175	mo	Other hunters	Salticidae	0,28	0,59	0	*	sh
Tallusia experta	3,75	6,296953921	2,9	3,148652983	mo	Sheet web	Linyphiidae	0,37	0,23	1	*	sh
Tapinocyba insecta	1,8	0,87023343	1,65	0,688245599	w	Other hunters	Linyphiidae	0,55	0,36	0	*	sh
Tapinocyba praecox	1,35	0,400639211	1,25	0,32555945	mo	Other hunters	Linyphiidae	0,31	0,46	1	*	h
Tenuiphantes mengei	2,05	1,235750974	2	1,156153093	mm	Sheet web	Linyphiidae	0,45	0,36	1	*	sh
Tenuiphantes tenebricola	2,45	1,998314005	2,45	1,998314005	w	Sheet web	Linyphiidae	0,66	0,33	1	*	sh
Tenuiphantes tenuis	3,15	3,935126488	2,6	2,345578227	mo	Sheet web	Linyphiidae	0,31	0,31	1	*	sh
Tenuiphantes zimmermanni	2,65	2,46919731	2,55	2,225926897	w	Sheet web	Linyphiidae	0,6	0,33	1	*	sh
Tiso vagans	2,1	1,31871136	1,95	1,079860389	mo	Other hunters	Linyphiidae	0,24	0,34	1	*	sh
Trachyzelotes pedestris	8	48,57332851	5,25	15,60081289	mo	Ground hunters	Gnaphosidae	0,34	0,6	0	*	h
Trochosa ruricola	11	114,6342764	8,25	52,77547896	o	Ground hunters	Lycosidae	0,22	0,32	1	*	sh
Trochosa spinipalpis	10,5	101,1203322	7	33,88672036	o	Ground hunters	Lycosidae	0,33	0,28	1	*	sh
Trochosa terricola	10,5	101,1203322	8	48,57332851	mm	Ground hunters	Lycosidae	0,45	0,43	1	*	sh
Troxochrus scabriculus	1,85	0,936959007	1,85	0,936959007	o	Other hunters	Linyphiidae	0,22	0,3	1	*	sh
Walckenaeria acuminata	3,75	6,296953921	2,65	2,46919731	w	Other hunters	Linyphiidae	0,5	0,37	1	*	sh
Walckenaeria antica	2,35	1,785928419	1,9	1,006815099	mo	Other hunters	Linyphiidae	0,35	0,44	1	*	sh
